title,first-author,year,citation
Facial Action Recognition Combining Heterogeneous Features via Multikernel Learning,Thibaud Senechal,2012,46,https://ieeexplore.ieee.org/document/6202713/citations?tabFilter=papers
Unsupervised Deep Feature Extraction for Remote Sensing Image Classification,Adriana Romero,2016,46,https://ieeexplore.ieee.org/document/7293195/citations?tabFilter=papers
Representational Power of Restricted Boltzmann Machines and Deep Belief Networks,Nicolas Le Roux,2008,46,https://ieeexplore.ieee.org/document/6796877/citations?tabFilter=papers
Deep networks for saliency detection via local estimation and global search,Lijun Wang,2015,46,https://ieeexplore.ieee.org/document/7298938/citations?tabFilter=papers
An interactive clustering-based approach to integrating source query interfaces on the deep Web,Wensheng Wu,2004,45,https://ieeexplore.ieee.org/document/7632250/citations?tabFilter=papers
Deep convolutional neural fields for depth estimation from a single image,Fayao Liu,2015,45,https://ieeexplore.ieee.org/document/7299152/citations?tabFilter=papers
EESEN: End-to-end speech recognition using deep RNN models and WFST-based decoding,Yajie Miao,2015,44,https://ieeexplore.ieee.org/document/7404790/citations?tabFilter=papers
Multimodal Neuroimaging Feature Learning for Multiclass Diagnosis of Alzheimer's Disease,Siqi Liu,2015,44,https://ieeexplore.ieee.org/document/6963480/citations?tabFilter=papers
Stacked Progressive Auto-Encoders (SPAE) for Face Recognition Across Poses,Meina Kan,2014,44,https://ieeexplore.ieee.org/document/6909639/citations?tabFilter=papers
Blind Image Quality Assessment via Deep Learning,Weilong Hou,2015,44,https://ieeexplore.ieee.org/document/6872541/citations?tabFilter=papers
Semantic Annotation of High-Resolution Satellite Images via Weakly Supervised Learning,Xiwen Yao,2016,44,https://ieeexplore.ieee.org/document/7414501/citations?tabFilter=papers
Standard Plane Localization in Fetal Ultrasound via Domain Transferred Deep Neural Networks,Hao Chen,2015,44,https://ieeexplore.ieee.org/document/7090943/citations?tabFilter=papers
Unsupervised learning of hierarchical representations with convolutional deep belief networks,Honglak Lee,2011,44,https://ieeexplore.ieee.org/document/6255302/citations?tabFilter=papers
PoseNet: A Convolutional Network for Real-Time 6-DOF Camera Relocalization,Alex Kendall,2015,44,https://ieeexplore.ieee.org/document/7410693/citations?tabFilter=papers
Multi-stage Contextual Deep Learning for Pedestrian Detection,Xingyu Zeng,2013,43,https://ieeexplore.ieee.org/document/6751124/citations?tabFilter=papers
Stacks of convolutional Restricted Boltzmann Machines for shift-invariant feature learning,Mohammad Norouzi,2009,43,https://ieeexplore.ieee.org/document/5206577/citations?tabFilter=papers
Convolutional Channel Features,Bin Yang,2015,43,https://ieeexplore.ieee.org/document/7410375/citations?tabFilter=papers
Learning with Hierarchical-Deep Models,Ruslan Salakhutdinov,2013,42,https://ieeexplore.ieee.org/document/6389680/citations?tabFilter=papers
Extracting deep bottleneck features using stacked auto-encoders,Jonas Gehring,2013,42,https://ieeexplore.ieee.org/document/6638284/citations?tabFilter=papers
Deep and Wide: Multiple Layers in Automatic Speech Recognition,Nelson Morgan,2012,42,https://ieeexplore.ieee.org/document/5714717/citations?tabFilter=papers
Unsupervised cross-lingual knowledge transfer in DNN-based LVCSR,Pawel Swietojanski,2012,42,https://ieeexplore.ieee.org/document/6424230/citations?tabFilter=papers
Deep neural networks for acoustic emotion recognition: Raising the benchmarks,Andr&eacute; Stuhlsatz,2011,42,https://ieeexplore.ieee.org/document/5947651/citations?tabFilter=papers
Deep learning of binary hash codes for fast image retrieval,Kevin Lin,2015,41,https://ieeexplore.ieee.org/document/7301269/citations?tabFilter=papers
Deep Networks for Image Super-Resolution with Sparse Prior,Zhaowen Wang,2015,41,https://ieeexplore.ieee.org/document/7410407/citations?tabFilter=papers
Multiscale 3-D Shape Representation and Segmentation Using Spherical Wavelets,Delphine Nain,2007,41,https://ieeexplore.ieee.org/document/4141198/citations?tabFilter=papers
Fully Convolutional Networks for Semantic Segmentation,Evan Shelhamer,2017,41,https://ieeexplore.ieee.org/document/7478072/citations?tabFilter=papers
"Ensemble Classification and Regression-Recent Developments, Applications and Future Directions [Review Article]",Ye Ren,2016,41,https://ieeexplore.ieee.org/document/7379058/citations?tabFilter=papers
Advances in optimizing recurrent networks,Yoshua Bengio,2013,41,https://ieeexplore.ieee.org/document/6639349/citations?tabFilter=papers
Methodologies for Cross-Domain Data Fusion: An Overview,Yu Zheng,2015,41,https://ieeexplore.ieee.org/document/7230259/citations?tabFilter=papers
Joint Optimization of Masks and Deep Recurrent Neural Networks for Monaural Source Separation,Po-Sen Huang,2015,40,https://ieeexplore.ieee.org/document/7194774/citations?tabFilter=papers
Scene Classification via a Gradient Boosting Random Convolutional Network Framework,Fan Zhang,2016,40,https://ieeexplore.ieee.org/document/7310864/citations?tabFilter=papers
Deep Metric Learning for Person Re-identification,Dong Yi,2014,40,https://ieeexplore.ieee.org/document/6976727/citations?tabFilter=papers
Modeling Mutual Visibility Relationship in Pedestrian Detection,Wanli Ouyang,2013,40,https://ieeexplore.ieee.org/document/6619258/citations?tabFilter=papers
Spectral&ndash;Spatial Feature Extraction for Hyperspectral Image Classification: A Dimension Reduction and Deep Learning Approach,Wenzhi Zhao,2016,40,https://ieeexplore.ieee.org/document/7450160/citations?tabFilter=papers
Multi-task learning in deep neural networks for improved phoneme recognition,Michael L. Seltzer,2013,39,https://ieeexplore.ieee.org/document/6639012/citations?tabFilter=papers
Deeply learned attributes for crowded scene understanding,Jing Shao,2015,39,https://ieeexplore.ieee.org/document/7299097/citations?tabFilter=papers
Cosaliency Detection Based on Intrasaliency Prior Transfer and Deep Intersaliency Mining,Dingwen Zhang,2016,39,https://ieeexplore.ieee.org/document/7327212/citations?tabFilter=papers
Deep learning from temporal coherence in video,Hossein Mobahi,2009,39,https://ieeexplore.ieee.org/document/5886470/citations?tabFilter=papers
Software-Defined Networking for RSU Clouds in Support of the Internet of Vehicles,Mohammad Ali Salahuddin,2015,39,https://ieeexplore.ieee.org/document/6949072/citations?tabFilter=papers
DeepWalk: online learning of social representations,Bryan Perozzi,2014,39,https://ieeexplore.ieee.org/document/7662978/citations?tabFilter=papers
Learning to Hash for Indexing Big Data&mdash;A Survey,Jun Wang,2016,39,https://ieeexplore.ieee.org/document/7360966/citations?tabFilter=papers
Discriminative Learning of Deep Convolutional Feature Point Descriptors,Edgar Simo-Serra,2015,39,https://ieeexplore.ieee.org/document/7410379/citations?tabFilter=papers
Visual Place Recognition: A Survey,Stephanie Lowry,2016,39,https://ieeexplore.ieee.org/document/7339473/citations?tabFilter=papers
Revisiting Recurrent Neural Networks for robust ASR,Oriol Vinyals,2012,38,https://ieeexplore.ieee.org/document/6288816/citations?tabFilter=papers
Gaussian Processes for Underdetermined Source Separation,Antoine Liutkus,2011,38,https://ieeexplore.ieee.org/document/5720325/citations?tabFilter=papers
Max-pooling convolutional neural networks for vision-based hand gesture recognition,Jawad Nagi,2011,38,https://ieeexplore.ieee.org/document/6144164/citations?tabFilter=papers
